CellphoneDB interaction ,Partner A,Partner B,Gene name A,Gene name B, Ensembl ID A,Ensembl ID B,Annotation strategy,Curator,Source,Is PPI
CPI-SS01CBCD4BF,simple:Q16627,simple:P32246,CCL14,CCR1,ENSG00000276409,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0A76E2CE9,simple:Q16663,simple:P32246,CCL15,CCR1,ENSG00000275718,ENSG00000163823,curated,RVentoTormo,uniprot,TRUE
CPI-SS0348B76E5,simple:O15467,simple:P32246,CCL16,CCR1,ENSG00000275152,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS049DF2278,simple:P55773,simple:P32246,CCL23,CCR1,ENSG00000274736,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F06E4B3F,simple:Q9Y258,simple:P32246,CCL26,CCR1,ENSG00000006606,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08DA48A5A,simple:P10147,simple:P32246,CCL3,CCR1,ENSG00000277632,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0817CE2B3,simple:P16619,simple:P32246,CCL3L1,CCR1,ENSG00000276085,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0A021DB6E,simple:P13501,simple:P32246,CCL5,CCR1,ENSG00000274233,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS02CC53E89,simple:P80098,simple:P32246,CCL7,CCR1,ENSG00000108688,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS087054090,simple:P80075,simple:P32246,CCL8,CCR1,ENSG00000108700,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS01CBCD4BF,simple:Q16627,simple:P32246,CCL14,CCR1,ENSG00000276409,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0A76E2CE9,simple:Q16663,simple:P32246,CCL15,CCR1,ENSG00000275718,ENSG00000163823,curated,RVentoTormo,uniprot,TRUE
CPI-SS0348B76E5,simple:O15467,simple:P32246,CCL16,CCR1,ENSG00000275152,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS049DF2278,simple:P55773,simple:P32246,CCL23,CCR1,ENSG00000274736,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F06E4B3F,simple:Q9Y258,simple:P32246,CCL26,CCR1,ENSG00000006606,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08DA48A5A,simple:P10147,simple:P32246,CCL3,CCR1,ENSG00000277632,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0817CE2B3,simple:P16619,simple:P32246,CCL3L1,CCR1,ENSG00000276085,ENSG00000163823,curated,RVentoTormo,PMID:24218476,TRUE
