CellphoneDB interaction ,Partner A,Partner B,Gene name A,Gene name B, Ensembl ID A,Ensembl ID B,Annotation strategy,Curator,Source,Is PPI
CPI-SS052BBD9F9,simple:P09341,simple:Q16570,CXCL1,ACKR1,ENSG00000163739,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS08102DC9E,simple:P09341,simple:P25025,CXCL1,CXCR2,ENSG00000163739,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C62E5DD8,simple:P09341,simple:P25024,CXCL1,CXCR1,ENSG00000163739,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CDAC688B,simple:P19875,simple:P27487,CXCL2,DPP4,ENSG00000081041,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F562FEA5,simple:P19875,simple:P25025,CXCL2,CXCR2,ENSG00000081041,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0CDAC688B,simple:P19875,simple:P27487,CXCL2,DPP4,ENSG00000081041,ENSG00000197635,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0F562FEA5,simple:P19875,simple:P25025,CXCL2,CXCR2,ENSG00000081041,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09185EA8F,simple:P19876,simple:P25025,CXCL3,CXCR2,ENSG00000163734,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS09185EA8F,simple:P19876,simple:P25025,CXCL3,CXCR2,ENSG00000163734,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS00270ECE6,simple:P42830,simple:P25025,CXCL5,CXCR2,ENSG00000163735,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BC034428,simple:P42830,simple:P25024,CXCL5,CXCR1,ENSG00000163735,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS00270ECE6,simple:P42830,simple:P25025,CXCL5,CXCR2,ENSG00000163735,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0BC034428,simple:P42830,simple:P25024,CXCL5,CXCR1,ENSG00000163735,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS093B46106,simple:P80162,simple:P25025,CXCL6,CXCR2,ENSG00000124875,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS03818E1DD,simple:P80162,simple:P25024,CXCL6,CXCR1,ENSG00000124875,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS093B46106,simple:P80162,simple:P25025,CXCL6,CXCR2,ENSG00000124875,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS03818E1DD,simple:P80162,simple:P25024,CXCL6,CXCR1,ENSG00000124875,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0C491A3C1,simple:P02775,simple:P25025,PPBP,CXCR2,ENSG00000163736,ENSG00000180871,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS07AB1C381,simple:P02775,simple:P25024,PPBP,CXCR1,ENSG00000163736,ENSG00000163464,curated,RVentoTormo,PMID:24218476,TRUE
CPI-SS0911EECCC,simple:P10145,simple:Q16570,CXCL8,ACKR1,ENSG00000169429,ENSG00000213088,curated,RVentoTormo,PMID:24218476,TRUE
